Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,B,SW_SPST_TL3342,228.06505,-105.507053,180.0,bottom
C1,1uF,C_0402_1005Metric,210.565044,-115.507018,180.0,bottom
C2,22pF,C_0402_1005Metric,222.765038,-135.307046,90.0,bottom
C3,22pF,C_0402_1005Metric,220.26504,-138.057039,0.0,bottom
C4,1uF,C_0402_1005Metric,211.065038,-120.857012,0.0,bottom
C5,1uF,C_0402_1005Metric,215.015059,-121.307035,90.0,bottom
C6,100nF,C_0402_1005Metric,218.915044,-120.80706,90.0,bottom
C7,100nF,C_0402_1005Metric,215.515051,-133.057031,270.0,bottom
C8,100nF,C_0402_1005Metric,216.515048,-133.057025,270.0,bottom
C9,100nF,C_0402_1005Metric,214.015039,-121.307038,90.0,bottom
C10,100nF,C_0402_1005Metric,213.01504,-121.307051,90.0,bottom
C11,100nF,C_0402_1005Metric,211.765056,-124.507059,0.0,bottom
C12,100nF,C_0402_1005Metric,222.76507,-124.507042,180.0,bottom
C13,100nF,C_0402_1005Metric,217.415036,-121.307024,180.0,bottom
C14,100nF,C_0402_1005Metric,217.415049,-120.307047,180.0,bottom
C15,100nF,C_0402_1005Metric,211.765042,-128.507041,0.0,bottom
C16,100nF,C_0402_1005Metric,222.765064,-128.507048,180.0,bottom
C17,100nF,C_0402_1005Metric,219.665054,-118.307027,270.0,bottom
C_Shield1,4.7n,C_0402_1005Metric,206.604366,-111.009831,180.0,bottom
D1,1N4148W,D_SOD-123,106.357633,-126.822518,285.0,bottom
D2,1N4148W,D_SOD-123,110.757561,-110.401763,285.0,bottom
D3,1N4148W,D_SOD-123,115.157482,-93.980998,285.0,bottom
D4,1N4148W,D_SOD-123,126.545324,-124.348734,289.0,bottom
D5,1N4148W,D_SOD-123,132.079995,-108.274908,289.0,bottom
D6,1N4148W,D_SOD-123,137.614641,-92.201122,289.0,bottom
D7,1N4148W,D_SOD-123,143.564654,-130.208963,289.0,bottom
D8,1N4148W,D_SOD-123,149.099307,-114.135132,289.0,bottom
D9,1N4148W,D_SOD-123,154.633963,-98.061325,289.0,bottom
D10,1N4148W,D_SOD-123,160.584009,-136.069181,289.0,bottom
D11,1N4148W,D_SOD-123,166.118638,-119.995378,289.0,bottom
D12,1N4148W,D_SOD-123,171.653299,-103.921572,289.0,bottom
D13,1N4148W,D_SOD-123,177.603322,-141.929401,289.0,bottom
D14,1N4148W,D_SOD-123,183.137972,-125.855602,289.0,bottom
D15,1N4148W,D_SOD-123,188.672667,-109.781764,289.0,bottom
D16,1N4148W,D_SOD-123,157.920499,-157.626532,289.0,bottom
D17,1N4148W,D_SOD-123,175.424865,-166.040095,299.0,bottom
D18,1N4148W,D_SOD-123,191.202314,-177.36544,309.0,bottom
D19,1N4148W,D_SOD-123,332.050996,-125.140162,255.0,bottom
D20,1N4148W,D_SOD-123,327.651047,-108.719412,255.0,bottom
D21,1N4148W,D_SOD-123,323.251136,-92.298672,255.0,bottom
D22,1N4148W,D_SOD-123,311.730637,-122.232548,251.0,bottom
D23,1N4148W,D_SOD-123,306.195997,-106.158718,251.0,bottom
D24,1N4148W,D_SOD-123,300.661311,-90.084917,251.0,bottom
D25,1N4148W,D_SOD-123,294.711321,-128.092772,251.0,bottom
D26,1N4148W,D_SOD-123,289.176661,-112.018952,251.0,bottom
D27,1N4148W,D_SOD-123,283.641976,-95.945134,251.0,bottom
D28,1N4148W,D_SOD-123,277.691976,-133.95299,251.0,bottom
D29,1N4148W,D_SOD-123,272.157305,-117.879175,251.0,bottom
D30,1N4148W,D_SOD-123,266.622665,-101.805369,251.0,bottom
D31,1N4148W,D_SOD-123,260.67264,-139.813204,251.0,bottom
D32,1N4148W,D_SOD-123,255.137997,-123.739423,251.0,bottom
D33,1N4148W,D_SOD-123,249.603326,-107.665586,251.0,bottom
D34,1N4148W,D_SOD-123,280.355465,-155.510291,251.0,bottom
D35,1N4148W,D_SOD-123,262.390247,-162.888828,241.0,bottom
D36,1N4148W,D_SOD-123,245.979228,-173.274866,231.0,bottom
F1,500mA,Fuse_1206_3216Metric,211.065046,-112.257031,270.0,bottom
J1,USB_C,Molex-216990_GCT-USB45xx_HRO-TYPE-C-31-M-13x,216.065044,-101.007036,180.0,bottom
R1,5.1k,R_0402_1005Metric,214.56505,-110.507045,270.0,bottom
R2,5.1k,R_0402_1005Metric,217.565033,-110.507028,270.0,bottom
R3,1k,R_0402_1005Metric,217.765049,-135.307042,90.0,bottom
R4,1k,R_0402_1005Metric,219.665038,-110.307051,270.0,bottom
R5,10k,R_0402_1005Metric,214.515049,-133.057039,90.0,bottom
R6,27R,R_0603_1608Metric,217.065032,-116.807023,270.0,bottom
R7,27R,R_0603_1608Metric,215.065038,-116.807047,270.0,bottom
R_Shield1,1M,R_0402_1005Metric,206.604366,-112.021469,0.0,bottom
RESET1,R,SW_SPST_TL3342,204.065065,-105.507051,180.0,bottom
U1,RP2040,RP2040-QFN-56,217.265041,-127.307054,0.0,bottom
U2,SRV05-4,SOT-23-6-routable,216.065055,-113.507019,0.0,bottom
U3,XC6206,SOT-23,211.065048,-118.257047,90.0,bottom
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,223.265042,-114.307024,270.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,220.26504,-135.307058,90.0,bottom
